category,title,context,question,answer
全院共用服務-網路資訊,院區無線網路,"中研院資訊服務處提供之無線網路有三類(SSID)，供同仁與訪客使用，分別是AS_Secure員工無線網路、eduroam教育無線網路漫遊及AS_Guest訪客無線網路。資訊服務處負責建置公共空間、院本部、人文館等區域的無線網路，而各單位建置的無線網路也可以加入中研院院區無線網路。欲了解如何設定無線網路，請參考https://its.sinica.edu.tw/pages/1684。

中研院的無線網路覆蓋範圍包括室內公共空間(如人文館國際會議廳、活動中心、各單位公共會議室)、院本部、人文館、加入中研院院區無線網路的單位(如資訊所、基因體中心等)及室外公共空間。詳細範圍請參考https://its.sinica.edu.tw/pages/1684。",可以在中研院的哪些單位加入院區無線網路？,可以在加入中研院院區無線網路的單位加入無線網路，例如資訊所、基因體中心等。
全院共用服務-網路資訊,會議網路,租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務，請填寫會議網路服務申請表，申請內容可包含測試場佈時間，並在會議前三個月至一週前提交申請表至資訊服務處。會議網路使用場地之單位?為中研院院本部主辦之會議免收費；中研院所處中心需要付費使用，費用將減收50%。另，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費，詳細說明請參考https://its.sinica.edu.tw/pages/1684。,會議網路的服務項目是什麼？,會議網路的服務項目包括租用中研院人文館、活動中心或蔡元培館會議室的網路服務，申請內容可包含測試場佈時間，需在會議前三個月至一週前提交申請表至資訊服務處。中研院院本部主辦之會議免收費，而中研院所處中心需要付費使用，費用將減收50%。若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費。
全院共用服務-網路資訊,會議網路,租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務，請填寫會議網路服務申請表，申請內容可包含測試場佈時間，並在會議前三個月至一週前提交申請表至資訊服務處。會議網路使用場地之單位?為中研院院本部主辦之會議免收費；中研院所處中心需要付費使用，費用將減收50%。另，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費，詳細說明請參考https://its.sinica.edu.tw/pages/1684。,哪些場地可以租用會議網路服務？,可以租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務。
全院共用服務-網路資訊,會議網路,租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務，請填寫會議網路服務申請表，申請內容可包含測試場佈時間，並在會議前三個月至一週前提交申請表至資訊服務處。會議網路使用場地之單位?為中研院院本部主辦之會議免收費；中研院所處中心需要付費使用，費用將減收50%。另，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費，詳細說明請參考https://its.sinica.edu.tw/pages/1684。,如何申請會議網路服務？,申請會議網路服務需要填寫申請表，申請內容可包含測試場佈時間，並在會議前三個月至一週前提交申請表至資訊服務處。若是中研院院本部主辦之會議，則免收費用；若是中研院所處中心需要使用，費用將減收50%。另外，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam，則免申請及收費。詳細說明可參考其官方網站 https://its.sinica.edu.tw/pages/1684。
全院共用服務-網路資訊,會議網路,租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務，請填寫會議網路服務申請表，申請內容可包含測試場佈時間，並在會議前三個月至一週前提交申請表至資訊服務處。會議網路使用場地之單位?為中研院院本部主辦之會議免收費；中研院所處中心需要付費使用，費用將減收50%。另，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費，詳細說明請參考https://its.sinica.edu.tw/pages/1684。,在什麼時候需要提交申請表？,在會議前三個月至一週前需要提交申請表。
全院共用服務-網路資訊,會議網路,租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務，請填寫會議網路服務申請表，申請內容可包含測試場佈時間，並在會議前三個月至一週前提交申請表至資訊服務處。會議網路使用場地之單位?為中研院院本部主辦之會議免收費；中研院所處中心需要付費使用，費用將減收50%。另，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費，詳細說明請參考https://its.sinica.edu.tw/pages/1684。,使用會議網路的場地是否需要付費？如果是，費用是多少？,中研院所處中心需要付費使用，費用將減收50%。
全院共用服務-網路資訊,會議網路,租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務，請填寫會議網路服務申請表，申請內容可包含測試場佈時間，並在會議前三個月至一週前提交申請表至資訊服務處。會議網路使用場地之單位?為中研院院本部主辦之會議免收費；中研院所處中心需要付費使用，費用將減收50%。另，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費，詳細說明請參考https://its.sinica.edu.tw/pages/1684。,如果使用常設無線網路服務AS_Secure、AS_Guest及eduroam，是否需要申請和付費？,不需要申請和付費。
全院共用服務-網路資訊,會議網路,租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務，請填寫會議網路服務申請表，申請內容可包含測試場佈時間，並在會議前三個月至一週前提交申請表至資訊服務處。會議網路使用場地之單位?為中研院院本部主辦之會議免收費；中研院所處中心需要付費使用，費用將減收50%。另，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費，詳細說明請參考https://its.sinica.edu.tw/pages/1684。,可以在哪裡找到詳細說明？,可以在https://its.sinica.edu.tw/pages/1684找到詳細說明。
全院共用服務-網路資訊,虛擬網路VPN連線服務,"中研院資訊服務處提供虛擬私有網路(VPN)遠端連線服務，以供同仁在院外透過VPN取得中研院網路IP，可持續進行學術研究工作或使用行政相關服務。首次使用需先完成VPN 服務使用權限開通，並取得雙因子驗證碼，亦即專屬動態密碼(OTP)。使用者登入VPN時，需輸入gate電子郵件帳號、密碼，以及專屬動態密碼(OTP)，方可登入。

若VPN服務在90天內沒有使用紀錄，系統將自動關閉，有需要使用可再次申請開通。連線使用說明請參考https://its.sinica.edu.tw/pages/1685。",VPN連線服務是否只提供給中研院的同仁使用？,是，根據文字說明，中研院資訊服務處提供的VPN遠端連線服務是供中研院的同仁在院外使用，以取得中研院網路IP，進行學術研究工作或使用行政相關服務。因此，此服務僅限中研院的同仁使用。
全院共用服務-網路資訊,虛擬網路VPN連線服務,"中研院資訊服務處提供虛擬私有網路(VPN)遠端連線服務，以供同仁在院外透過VPN取得中研院網路IP，可持續進行學術研究工作或使用行政相關服務。首次使用需先完成VPN 服務使用權限開通，並取得雙因子驗證碼，亦即專屬動態密碼(OTP)。使用者登入VPN時，需輸入gate電子郵件帳號、密碼，以及專屬動態密碼(OTP)，方可登入。

若VPN服務在90天內沒有使用紀錄，系統將自動關閉，有需要使用可再次申請開通。連線使用說明請參考https://its.sinica.edu.tw/pages/1685。",VPN連線服務的使用者需要完成哪些步驟才能開通權限？,VPN連線服務的使用者需要完成以下步驟才能開通權限：首次使用需要完成VPN服務使用權限開通，並取得雙因子驗證碼，即專屬動態密碼(OTP)。
全院共用服務-網路資訊,虛擬網路VPN連線服務,"中研院資訊服務處提供虛擬私有網路(VPN)遠端連線服務，以供同仁在院外透過VPN取得中研院網路IP，可持續進行學術研究工作或使用行政相關服務。首次使用需先完成VPN 服務使用權限開通，並取得雙因子驗證碼，亦即專屬動態密碼(OTP)。使用者登入VPN時，需輸入gate電子郵件帳號、密碼，以及專屬動態密碼(OTP)，方可登入。

若VPN服務在90天內沒有使用紀錄，系統將自動關閉，有需要使用可再次申請開通。連線使用說明請參考https://its.sinica.edu.tw/pages/1685。",VPN連線服務的使用者需要在登入時提供哪些資料？,使用者登入VPN時需要輸入gate電子郵件帳號、密碼，以及專屬動態密碼(OTP)。
全院共用服務-網路資訊,虛擬網路VPN連線服務,"中研院資訊服務處提供虛擬私有網路(VPN)遠端連線服務，以供同仁在院外透過VPN取得中研院網路IP，可持續進行學術研究工作或使用行政相關服務。首次使用需先完成VPN 服務使用權限開通，並取得雙因子驗證碼，亦即專屬動態密碼(OTP)。使用者登入VPN時，需輸入gate電子郵件帳號、密碼，以及專屬動態密碼(OTP)，方可登入。

若VPN服務在90天內沒有使用紀錄，系統將自動關閉，有需要使用可再次申請開通。連線使用說明請參考https://its.sinica.edu.tw/pages/1685。",若VPN服務在90天內沒有使用紀錄，會自動關閉，那是否需要重新申請開通？,如果VPN服務在90天內沒有使用紀錄，需要重新申請開通才能再次使用。
全院共用服務-網路資訊,虛擬網路VPN連線服務,"中研院資訊服務處提供虛擬私有網路(VPN)遠端連線服務，以供同仁在院外透過VPN取得中研院網路IP，可持續進行學術研究工作或使用行政相關服務。首次使用需先完成VPN 服務使用權限開通，並取得雙因子驗證碼，亦即專屬動態密碼(OTP)。使用者登入VPN時，需輸入gate電子郵件帳號、密碼，以及專屬動態密碼(OTP)，方可登入。

若VPN服務在90天內沒有使用紀錄，系統將自動關閉，有需要使用可再次申請開通。連線使用說明請參考https://its.sinica.edu.tw/pages/1685。",使用者可在哪裡找到連線使用說明？,使用者可在https://its.sinica.edu.tw/pages/1685找到連線使用說明。
全院共用服務-網路資訊,計算服務,資訊服務處提供多樣計算資源，包含高速運算(HPC)、容器運算服務(CCS)及虛擬運算服務(VCS)等計算服務。助研究員及研究助技師以上人員，使用SSO員工帳號登入系統後的權限即為專案管理員，便可使用計算服務。非助研究員及研究助技師以上人員，須先登入系統後，由專案管理員將該人員加入專案後才可使用計算服務。詳細計算服務內容與介紹請參閱https://its.sinica.edu.tw/posts/119854。,計算服務提供哪些資源？,計算服務提供高速運算(HPC)、容器運算服務(CCS)及虛擬運算服務(VCS)等資源。
全院共用服務-網路資訊,計算服務,資訊服務處提供多樣計算資源，包含高速運算(HPC)、容器運算服務(CCS)及虛擬運算服務(VCS)等計算服務。助研究員及研究助技師以上人員，使用SSO員工帳號登入系統後的權限即為專案管理員，便可使用計算服務。非助研究員及研究助技師以上人員，須先登入系統後，由專案管理員將該人員加入專案後才可使用計算服務。詳細計算服務內容與介紹請參閱https://its.sinica.edu.tw/posts/119854。,誰可以使用計算服務？,助研究員及研究助技師以上人員可以直接使用，非助研究員及研究助技師以上人員需要由專案管理員加入專案後才能使用。
全院共用服務-網路資訊,計算服務,資訊服務處提供多樣計算資源，包含高速運算(HPC)、容器運算服務(CCS)及虛擬運算服務(VCS)等計算服務。助研究員及研究助技師以上人員，使用SSO員工帳號登入系統後的權限即為專案管理員，便可使用計算服務。非助研究員及研究助技師以上人員，須先登入系統後，由專案管理員將該人員加入專案後才可使用計算服務。詳細計算服務內容與介紹請參閱https://its.sinica.edu.tw/posts/119854。,非助研究員及研究助技師以上人員如何使用計算服務？,非助研究員及研究助技師以上人員須先登入系統後，由專案管理員將該人員加入專案後才可以使用計算服務。
全院共用服務-網路資訊,計算服務,資訊服務處提供多樣計算資源，包含高速運算(HPC)、容器運算服務(CCS)及虛擬運算服務(VCS)等計算服務。助研究員及研究助技師以上人員，使用SSO員工帳號登入系統後的權限即為專案管理員，便可使用計算服務。非助研究員及研究助技師以上人員，須先登入系統後，由專案管理員將該人員加入專案後才可使用計算服務。詳細計算服務內容與介紹請參閱https://its.sinica.edu.tw/posts/119854。,如何成為專案管理員？,使用SSO員工帳號登入系統後，助研究員及研究助技師以上人員即可自動成為專案管理員，擁有使用計算服務的權限。非助研究員及研究助技師以上人員需經由專案管理員邀請加入專案後才能使用計算服務。
全院共用服務-網路資訊,計算服務,資訊服務處提供多樣計算資源，包含高速運算(HPC)、容器運算服務(CCS)及虛擬運算服務(VCS)等計算服務。助研究員及研究助技師以上人員，使用SSO員工帳號登入系統後的權限即為專案管理員，便可使用計算服務。非助研究員及研究助技師以上人員，須先登入系統後，由專案管理員將該人員加入專案後才可使用計算服務。詳細計算服務內容與介紹請參閱https://its.sinica.edu.tw/posts/119854。,詳細計算服務內容與介紹在哪裡可以找到？,可以在https://its.sinica.edu.tw/posts/119854 找到詳細計算服務內容與介紹。
全院共用服務-網路資訊,主機備份服務,"資訊服務處提供主機備份服務，可對中研院重要的公共及研究計畫主機進行電腦檔案備份。助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管皆可申請，欲申請該服務，請至資訊服務處網頁下載專區之服務申請表單下載主機備份服務申請表，填寫完畢後送至本處申請。使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案，並可保存備份檔案最近7日內的2個版本。

使用主機備份服務需要付費，每年的使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，請參考https://its.sinica.edu.tw/pages/1687。",主機備份服務主要提供給哪些人申請？,主機備份服務主要提供給助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管申請。
全院共用服務-網路資訊,主機備份服務,"資訊服務處提供主機備份服務，可對中研院重要的公共及研究計畫主機進行電腦檔案備份。助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管皆可申請，欲申請該服務，請至資訊服務處網頁下載專區之服務申請表單下載主機備份服務申請表，填寫完畢後送至本處申請。使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案，並可保存備份檔案最近7日內的2個版本。

使用主機備份服務需要付費，每年的使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，請參考https://its.sinica.edu.tw/pages/1687。",如何申請主機備份服務？,申請主機備份服務需要前往中研院資訊服務處網頁下載專區之服務申請表單下載主機備份服務申請表，填寫完畢後送至資訊服務處申請。申請資格為助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管。
全院共用服務-網路資訊,主機備份服務,"資訊服務處提供主機備份服務，可對中研院重要的公共及研究計畫主機進行電腦檔案備份。助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管皆可申請，欲申請該服務，請至資訊服務處網頁下載專區之服務申請表單下載主機備份服務申請表，填寫完畢後送至本處申請。使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案，並可保存備份檔案最近7日內的2個版本。

使用主機備份服務需要付費，每年的使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，請參考https://its.sinica.edu.tw/pages/1687。",能夠備份的主機類型有限制嗎？,文字說明中沒有提到備份主機類型有任何限制。
全院共用服務-網路資訊,主機備份服務,"資訊服務處提供主機備份服務，可對中研院重要的公共及研究計畫主機進行電腦檔案備份。助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管皆可申請，欲申請該服務，請至資訊服務處網頁下載專區之服務申請表單下載主機備份服務申請表，填寫完畢後送至本處申請。使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案，並可保存備份檔案最近7日內的2個版本。

使用主機備份服務需要付費，每年的使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，請參考https://its.sinica.edu.tw/pages/1687。",如何進行資料備份和檔案還原？,使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案。
全院共用服務-網路資訊,主機備份服務,"資訊服務處提供主機備份服務，可對中研院重要的公共及研究計畫主機進行電腦檔案備份。助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管皆可申請，欲申請該服務，請至資訊服務處網頁下載專區之服務申請表單下載主機備份服務申請表，填寫完畢後送至本處申請。使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案，並可保存備份檔案最近7日內的2個版本。

使用主機備份服務需要付費，每年的使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，請參考https://its.sinica.edu.tw/pages/1687。",備份檔案的保存時間有限制嗎？,是的，備份檔案最多只能保存最近7日內的2個版本。
全院共用服務-網路資訊,主機備份服務,"資訊服務處提供主機備份服務，可對中研院重要的公共及研究計畫主機進行電腦檔案備份。助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管皆可申請，欲申請該服務，請至資訊服務處網頁下載專區之服務申請表單下載主機備份服務申請表，填寫完畢後送至本處申請。使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案，並可保存備份檔案最近7日內的2個版本。

使用主機備份服務需要付費，每年的使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，請參考https://its.sinica.edu.tw/pages/1687。",主機備份服務的費用是如何計算的？,主機備份服務的費用是根據每年的使用量來計算，使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，可參考中研院資訊服務處網站的https://its.sinica.edu.tw/pages/1687。
全院共用服務-網路資訊,主機備份服務,"資訊服務處提供主機備份服務，可對中研院重要的公共及研究計畫主機進行電腦檔案備份。助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管皆可申請，欲申請該服務，請至資訊服務處網頁下載專區之服務申請表單下載主機備份服務申請表，填寫完畢後送至本處申請。使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案，並可保存備份檔案最近7日內的2個版本。

使用主機備份服務需要付費，每年的使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，請參考https://its.sinica.edu.tw/pages/1687。",使用量超過5TB的備份資料如何計價？,使用量超過5TB的備份資料會依據使用量高低做分級進行費用分攤。具體的計價方式需參考https://its.sinica.edu.tw/pages/1687。
全院共用服務-網路資訊,電子郵件服務,"中研院的資訊處提供個人電子郵件服務給在職同仁和正式編制退休人員使用。當同仁完成報到程序後，可以在線上申請員工SSO帳號；兩小時後可以開始使用電子郵件帳號。每個信箱的容量為15GB，並且可以透過Webmail隨時收發電子郵件。

如果同仁離職，他們的信箱會保留一個月，但如果需要持續使用，可以依規定申請帳號延長使用。

中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件。",如何申請個人電子郵件服務的SSO帳號？,在完成報到程序後，可以在線上申請員工SSO帳號，須等待兩小時後才可以開始使用電子郵件帳號。
全院共用服務-網路資訊,電子郵件服務,"中研院的資訊處提供個人電子郵件服務給在職同仁和正式編制退休人員使用。當同仁完成報到程序後，可以在線上申請員工SSO帳號；兩小時後可以開始使用電子郵件帳號。每個信箱的容量為15GB，並且可以透過Webmail隨時收發電子郵件。

如果同仁離職，他們的信箱會保留一個月，但如果需要持續使用，可以依規定申請帳號延長使用。

中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件。",申請完個人電子郵件服務的SSO帳號後，需要等多久才能開始使用電子郵件帳號？,兩小時後可以開始使用電子郵件帳號。
全院共用服務-網路資訊,電子郵件服務,"中研院的資訊處提供個人電子郵件服務給在職同仁和正式編制退休人員使用。當同仁完成報到程序後，可以在線上申請員工SSO帳號；兩小時後可以開始使用電子郵件帳號。每個信箱的容量為15GB，並且可以透過Webmail隨時收發電子郵件。

如果同仁離職，他們的信箱會保留一個月，但如果需要持續使用，可以依規定申請帳號延長使用。

中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件。",信箱的容量是多少？,每個信箱的容量為15GB。
全院共用服務-網路資訊,電子郵件服務,"中研院的資訊處提供個人電子郵件服務給在職同仁和正式編制退休人員使用。當同仁完成報到程序後，可以在線上申請員工SSO帳號；兩小時後可以開始使用電子郵件帳號。每個信箱的容量為15GB，並且可以透過Webmail隨時收發電子郵件。

如果同仁離職，他們的信箱會保留一個月，但如果需要持續使用，可以依規定申請帳號延長使用。

中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件。",是否可以隨時使用Webmail來收發郵件？,是的，可以隨時使用Webmail來收發郵件。
全院共用服務-網路資訊,電子郵件服務,"中研院的資訊處提供個人電子郵件服務給在職同仁和正式編制退休人員使用。當同仁完成報到程序後，可以在線上申請員工SSO帳號；兩小時後可以開始使用電子郵件帳號。每個信箱的容量為15GB，並且可以透過Webmail隨時收發電子郵件。

如果同仁離職，他們的信箱會保留一個月，但如果需要持續使用，可以依規定申請帳號延長使用。

中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件。",一旦同仁離職，他們的信箱會保留多久？,同仁離職後，他們的信箱會保留一個月。
全院共用服務-網路資訊,電子郵件服務,"中研院的資訊處提供個人電子郵件服務給在職同仁和正式編制退休人員使用。當同仁完成報到程序後，可以在線上申請員工SSO帳號；兩小時後可以開始使用電子郵件帳號。每個信箱的容量為15GB，並且可以透過Webmail隨時收發電子郵件。

如果同仁離職，他們的信箱會保留一個月，但如果需要持續使用，可以依規定申請帳號延長使用。

中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件。",如果離職的同仁想要持續使用信箱，該如何申請帳號延長使用？,如果離職的同仁想要持續使用信箱，可以依規定申請帳號延長使用。但具體的申請方式並未在文字說明中提到，需要進一步查詢相關規定或向中研院資訊處詢問。
全院共用服務-網路資訊,電子郵件服務,"中研院的資訊處提供個人電子郵件服務給在職同仁和正式編制退休人員使用。當同仁完成報到程序後，可以在線上申請員工SSO帳號；兩小時後可以開始使用電子郵件帳號。每個信箱的容量為15GB，並且可以透過Webmail隨時收發電子郵件。

如果同仁離職，他們的信箱會保留一個月，但如果需要持續使用，可以依規定申請帳號延長使用。

中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件。",中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件嗎？,是的，中研院的電子郵件服務只允許在中研院內部IP範圍內使用IMAP和POP3收發信件。
全院共用服務-網路資訊,電子郵件服務,"資訊處提供業務用電子郵件帳號，供院內同仁申請使用，用於處理公務或作為代表信箱，可收發信件等，無須額外費用，容量15G。

電子郵件「業務帳號」之相關申請作業，111/1/3 起改為線上辦理，可透過全院電子表單整合平台提出申請或填寫紙本申請單後交至行政大樓4樓資訊服務處。。另將依「電子郵件服務規範」進行清查作業，業務帳號使用期限(一年)屆滿時會發送通知，如有需求可申請延用。",下一次線上申請業務帳號的日期是什麼時候？,根據給定的文字說明中沒有提到下一次線上申請業務帳號的日期，因此無法回答此問題。
全院共用服務-網路資訊,電子郵件服務,"資訊處提供業務用電子郵件帳號，供院內同仁申請使用，用於處理公務或作為代表信箱，可收發信件等，無須額外費用，容量15G。

電子郵件「業務帳號」之相關申請作業，111/1/3 起改為線上辦理，可透過全院電子表單整合平台提出申請或填寫紙本申請單後交至行政大樓4樓資訊服務處。。另將依「電子郵件服務規範」進行清查作業，業務帳號使用期限(一年)屆滿時會發送通知，如有需求可申請延用。",業務帳號使用期限是多久？,業務帳號使用期限為一年，屆滿時會發送通知，可申請延用。
全院共用服務-網路資訊,電子郵件服務,"資訊處提供業務用電子郵件帳號，供院內同仁申請使用，用於處理公務或作為代表信箱，可收發信件等，無須額外費用，容量15G。

電子郵件「業務帳號」之相關申請作業，111/1/3 起改為線上辦理，可透過全院電子表單整合平台提出申請或填寫紙本申請單後交至行政大樓4樓資訊服務處。。另將依「電子郵件服務規範」進行清查作業，業務帳號使用期限(一年)屆滿時會發送通知，如有需求可申請延用。",如何申請延用業務帳號？,使用業務帳號的使用期限為一年，到期後會發送通知，若需要延用，可以透過全院電子表單整合平台申請。
全院共用服務-網路資訊,電子郵件服務,"中研院的電子郵件服務要求密碼的有效期限為180天，系統會在密碼到期前寄送提醒信件，請於期限內進行密碼修改，以避免無法進入信箱。如果需要進行密碼修改或重設，請至webamil (https://gate.sinica.edu.tw )首頁，選擇需要變更密碼的帳號類別，然後按照指示進行密碼重設作業。

為保障帳號安全，密碼設定應遵循以下原則：1) 密碼長度至少8個字母、數字或其它標點符號，2) 大小寫字母視為不同符號，3) 必須包含至少一個字母和數字。過於簡單、容易猜測的密碼容易被駭客入侵，進而威脅到其他同仁的帳號安全和權益。

如果系統發現帳號有被疑似駭客入侵的風險，會暫時停用該帳號以保障資訊安全。",電子郵件服務的密碼有效期限是多久？,180天。
全院共用服務-網路資訊,電子郵件服務,"中研院的電子郵件服務要求密碼的有效期限為180天，系統會在密碼到期前寄送提醒信件，請於期限內進行密碼修改，以避免無法進入信箱。如果需要進行密碼修改或重設，請至webamil (https://gate.sinica.edu.tw )首頁，選擇需要變更密碼的帳號類別，然後按照指示進行密碼重設作業。

為保障帳號安全，密碼設定應遵循以下原則：1) 密碼長度至少8個字母、數字或其它標點符號，2) 大小寫字母視為不同符號，3) 必須包含至少一個字母和數字。過於簡單、容易猜測的密碼容易被駭客入侵，進而威脅到其他同仁的帳號安全和權益。

如果系統發現帳號有被疑似駭客入侵的風險，會暫時停用該帳號以保障資訊安全。",系統會在什麼時候寄送密碼到期提醒信件？,系統會在密碼到期前寄送提醒信件。
全院共用服務-網路資訊,電子郵件服務,"中研院的電子郵件服務要求密碼的有效期限為180天，系統會在密碼到期前寄送提醒信件，請於期限內進行密碼修改，以避免無法進入信箱。如果需要進行密碼修改或重設，請至webamil (https://gate.sinica.edu.tw )首頁，選擇需要變更密碼的帳號類別，然後按照指示進行密碼重設作業。

為保障帳號安全，密碼設定應遵循以下原則：1) 密碼長度至少8個字母、數字或其它標點符號，2) 大小寫字母視為不同符號，3) 必須包含至少一個字母和數字。過於簡單、容易猜測的密碼容易被駭客入侵，進而威脅到其他同仁的帳號安全和權益。

如果系統發現帳號有被疑似駭客入侵的風險，會暫時停用該帳號以保障資訊安全。",如何進行密碼修改或重設？,需至中研院電子郵件服務的webamil首頁，選擇需要變更密碼的帳號類別，然後按照指示進行密碼重設作業。
全院共用服務-網路資訊,電子郵件服務,"中研院的電子郵件服務要求密碼的有效期限為180天，系統會在密碼到期前寄送提醒信件，請於期限內進行密碼修改，以避免無法進入信箱。如果需要進行密碼修改或重設，請至webamil (https://gate.sinica.edu.tw )首頁，選擇需要變更密碼的帳號類別，然後按照指示進行密碼重設作業。

為保障帳號安全，密碼設定應遵循以下原則：1) 密碼長度至少8個字母、數字或其它標點符號，2) 大小寫字母視為不同符號，3) 必須包含至少一個字母和數字。過於簡單、容易猜測的密碼容易被駭客入侵，進而威脅到其他同仁的帳號安全和權益。

如果系統發現帳號有被疑似駭客入侵的風險，會暫時停用該帳號以保障資訊安全。",密碼設定應遵循哪些原則？,密碼設定應遵循以下原則：1) 密碼長度至少8個字母、數字或其它標點符號，2) 大小寫字母視為不同符號，3) 必須包含至少一個字母和數字。
全院共用服務-網路資訊,電子郵件服務,"中研院的電子郵件服務要求密碼的有效期限為180天，系統會在密碼到期前寄送提醒信件，請於期限內進行密碼修改，以避免無法進入信箱。如果需要進行密碼修改或重設，請至webamil (https://gate.sinica.edu.tw )首頁，選擇需要變更密碼的帳號類別，然後按照指示進行密碼重設作業。

為保障帳號安全，密碼設定應遵循以下原則：1) 密碼長度至少8個字母、數字或其它標點符號，2) 大小寫字母視為不同符號，3) 必須包含至少一個字母和數字。過於簡單、容易猜測的密碼容易被駭客入侵，進而威脅到其他同仁的帳號安全和權益。

如果系統發現帳號有被疑似駭客入侵的風險，會暫時停用該帳號以保障資訊安全。",如果系統發現帳號有駭客入侵的風險，會有什麼處理方式？,系統會暫時停用該帳號以保障資訊安全。
